companyname,companywebsite,companyemaildomain,linkedincompanypageurl,stocksymbol,industry,city,state,companycountry,zipcode
Teys Australia Pty Ltd Eight Mile Plains,teysaustralia.com.au,teysaustralia.com.au,,,,,,AU,
Deakin University Burwood,deakin.edu.au,deakin.edu.au,,,,,,AU,
Melbourne Water Corporation Docklands,melbournewater.com.au,melbournewater.com.au,,,,,,AU,
Metal Manufactures Pty Ltd North Rocks,metalmanufactures.com.au,metalmanufactures.com.au,,,,,,AU,
TasNetworks - Lenah Valley,tasnetworks.com.au,tasnetworks.com.au,,,,,,AU,
Super Retail Group Strathpine,superretailgroup.com.au,superretailgroup.com.au,,,,,,AU,
Beach Energy Resources (Kupe) Ltd,beachenergy.com.au,beachenergy.com.au,,,,,,AU,
Caterpillar Of Australia Pty Ltd Brisbane City,cat.com,cat.com,,,,,,AU,
Citic Pacific Mining (Sino Iron),citicpacificmining.com,citicpacificmining.com,,,,,,AU,
Mcdonalds Australia Ltd,mcdonalds.com,mcdonalds.com,,,,,,AU,
Horizon Power Bentley Technology Park,horizonpower.com.au,horizonpower.com.au,,,,,,AU,
Charter Hall Ltd,charterhall.com.au,charterhall.com.au,,,,,,AU,
Yarra Valley Water Corporation,yvw.com.au,yvw.com.au,,,,,,AU,
Malabar Coal Ltd,malabarcoal.com.au,malabarcoal.com.au,,,,,,AU,
Public Transport Authority Of Western Australia,pta.wa.gov.au,pta.wa.gov.au,,,,,,AU,
Panaust Ltd,panaust.com.au,panaust.com.au,,,,,,AU,
Bolton Clarke - Fortitude Valley,boltonclarke.com.au,boltonclarke.com.au,,,,,,AU,
First Quantum Minerals (Australia) Pty Ltd,first-quantum.com,first-quantum.com,,,,,,AU,
BGIS Pty Ltd,bgis.com,bgis.com,,,,,,AU,
Queensland Urban Utilities Brisbane Water Head Office,urbanutilities.com,urbanutilities.com,,,,,,AU,
Aldi Stores (A Ltd Partnership) Minchinbury,aldi.com.au,aldi.com.au,,,,,,AU,
South Eastern Sydney Local Health District Sydney,south.com.au,south.com.au,,,,,,AU,
Seqwater HQ,seqwater.com.au,seqwater.com.au,,,,,,AU,
Box Hill Institute,boxhill.edu.au,boxhill.edu.au,,,,,,AU,
